CMDLINE python -u main_sequence.py --total_num_scenes 24 --agent rl --exp_name sequence6-5 --env sequence --sim_gpu_id 1 --task_config tasks/sequence_gibson.yaml --split train --panorama --num_training_frames 1000 --num_local_steps 50 --max_episode_length_straight 50 --sem_pred_prob_thr 0.7
MEM 0.515625 1775559736.9337
MEM 23.656250 1775559737.0463
MEM 41.730469 1775559737.1591
MEM 58.210938 1775559737.2739
MEM 66.679688 1775559737.3906
MEM 74.339844 1775559737.5104
MEM 84.398438 1775559737.6322
MEM 91.945312 1775559737.7567
MEM 99.976562 1775559737.8826
MEM 110.152344 1775559738.0098
MEM 122.601562 1775559738.1397
MEM 133.218750 1775559738.2721
MEM 149.046875 1775559738.4043
MEM 156.050781 1775559738.5389
MEM 175.664062 1775559738.6735
MEM 191.281250 1775559738.8079
MEM 203.011719 1775559738.9423
MEM 216.945312 1775559739.0800
MEM 232.324219 1775559739.2193
MEM 243.722656 1775559739.3570
MEM 248.246094 1775559739.4948
MEM 256.019531 1775559739.6328
MEM 263.003906 1775559739.7704
MEM 274.113281 1775559739.9079
MEM 283.566406 1775559740.0451
MEM 291.472656 1775559740.1824
MEM 301.789062 1775559740.3199
MEM 311.414062 1775559740.4572
MEM 315.929688 1775559740.5945
MEM 320.304688 1775559740.7314
MEM 327.507812 1775559740.8689
MEM 343.472656 1775559741.0061
MEM 357.320312 1775559741.1434
MEM 375.808594 1775559741.2812
MEM 389.566406 1775559741.4203
MEM 397.160156 1775559741.5582
MEM 405.769531 1775559741.6963
MEM 413.152344 1775559741.8351
MEM 418.175781 1775559741.9740
MEM 423.703125 1775559742.1097
MEM 427.531250 1775559742.2462
MEM 432.335938 1775559742.3817
MEM 446.527344 1775559742.5169
MEM 453.105469 1775559742.6551
MEM 460.941406 1775559742.7933
MEM 465.835938 1775559742.9315
MEM 472.785156 1775559743.0696
MEM 478.730469 1775559743.2083
MEM 488.019531 1775559743.3472
MEM 493.730469 1775559743.4860
MEM 499.257812 1775559743.6255
MEM 502.671875 1775559743.7641
MEM 510.480469 1775559743.9023
MEM 517.003906 1775559744.0406
MEM 522.304688 1775559744.1758
MEM 530.003906 1775559744.3138
MEM 532.562500 1775559744.4516
MEM 534.500000 1775559744.5902
MEM 539.800781 1775559744.7301
MEM 544.359375 1775559744.8693
MEM 550.640625 1775559745.0089
MEM 559.796875 1775559745.1476
MEM 568.332031 1775559745.2860
MEM 575.910156 1775559745.4240
MEM 584.152344 1775559745.5620
MEM 601.226562 1775559745.7013
MEM 614.695312 1775559745.8369
MEM 622.082031 1775559745.9763
MEM 631.980469 1775559746.1112
MEM 644.964844 1775559746.2463
MEM 653.234375 1775559746.3849
MEM 661.000000 1775559746.5233
MEM 672.660156 1775559746.6616
MEM 681.917969 1775559746.8012
MEM 701.386719 1775559746.9402
MEM 719.847656 1775559747.0789
MEM 738.675781 1775559747.2173
MEM 757.355469 1775559747.3556
MEM 777.449219 1775559747.4943
MEM 792.480469 1775559747.6326
MEM 797.429688 1775559747.7707
MEM 799.660156 1775559747.9091
MEM 807.929688 1775559748.0481
MEM 816.585938 1775559748.1871
MEM 823.171875 1775559748.3224
MEM 829.828125 1775559748.4576
MEM 839.214844 1775559748.5960
MEM 845.484375 1775559748.7342
MEM 853.316406 1775559748.8720
MEM 855.085938 1775559749.0116
MEM 861.542969 1775559749.1508
MEM 871.437500 1775559749.2863
MEM 877.761719 1775559749.4253
MEM 882.898438 1775559749.5643
MEM 887.238281 1775559749.7035
